Source.Name,Selection,View,Channel,Begin Time (s),End Time (s),Peak Freq (Hz),PFC Max Freq (Hz),PFC Min Freq (Hz),Avg Entropy (bits),Center Freq (Hz),BW 90% (Hz),first_pcf_value,last_pcf_value,Time_duration,Peak Freq Contour (Hz),High Freq (Hz),Low Freq (Hz),Species
AFBB_F091_ZOOM0003_Tr2.Table.1.selections.txt,10,Spectrogram 1,1,496.4859381,496.5318787,3375,3656.25,1968.75,2.834,3281.25,1406.25,1968.75,3656.25,0.0459406,1968.750;2437.500;2625.000;3000.000;3375.000;3375.000;3656.250,3965.217,1913.043,AFBB
AFBB_F091_ZOOM0003_Tr2.Table.1.selections.txt,11,Spectrogram 1,1,501.4217362,501.4728033,3093.75,3937.5,2250,3.028,3281.25,1500,2250,3468.75,0.0510671,2250.000;2531.250;2906.250;3093.750;3093.750;3468.750;3750.000;3937.500;3468.750,4521.739,1947.826,AFBB
AFBB_F091_ZOOM0003_Tr2.Table.1.selections.txt,12,Spectrogram 1,1,512.2940499,512.3329219,3187.5,3656.25,2343.75,2.986,3187.5,1406.25,2343.75,3562.5,0.038872,2343.750;2531.250;3000.000;3187.500;3656.250;3656.250;3562.500,4139.13,2086.957,AFBB
AFBB_F091_ZOOM0003_Tr2.Table.1.selections.txt,13,Spectrogram 1,1,521.9615525,522.0004244,3187.5,4031.25,2343.75,3.139,3187.5,1687.5,2343.75,3750,0.0388719,2343.750;2625.000;3000.000;3187.500;3562.500;3843.750;4031.250;3750.000,4382.609,1878.261,AFBB
AFBB_F091_ZOOM0003_Tr2.Table.1.selections.txt,16,Spectrogram 1,1,399.6880757,399.7200878,3656.25,4031.25,3468.75,2.53,3656.25,843.75,3468.75,4031.25,0.0320121,3468.750;3656.250;3843.750;3937.500;4031.250,4521.739,3060.87,AFBB
AFBB_F091_ZOOM0003_Tr2.Table.1.selections.txt,17,Spectrogram 1,1,404.8514059,404.8841803,3468.75,3750,3468.75,1.977,3468.75,468.75,3468.75,3562.5,0.0327744,3468.750;3468.750;3562.500;3750.000;3562.500,3930.435,3095.652,AFBB
AFBB_F091_ZOOM0003_Tr2.Table.1.selections.txt,18,Spectrogram 1,1,408.3657283,408.3992649,3468.75,3750,3468.75,2.23,3562.5,656.25,3468.75,3750,0.0335366,3468.750;3468.750;3468.750;3656.250;3750.000,4173.913,2991.304,AFBB
AFBB_F091_ZOOM0003_Tr2.Table.1.selections.txt,20,Spectrogram 1,1,419.5648151,419.603687,3562.5,3750,3562.5,1.993,3562.5,375,3562.5,3750,0.0388719,3562.500;3562.500;3562.500;3656.250;3656.250;3750.000,4278.261,2991.304,AFBB
AFBB_F091_ZOOM0003_Tr2.Table.1.selections.txt,21,Spectrogram 1,1,501.479663,501.5215837,3468.75,3843.75,3468.75,2.392,3468.75,562.5,3468.75,3843.75,0.0419207,3468.750;3468.750;3468.750;3468.750;3468.750;3562.500;3843.750,4556.522,2852.174,AFBB
AFBB_F091_ZOOM0003_Tr2.Table.1.selections.txt,22,Spectrogram 1,1,522.0080464,522.0461561,3562.5,3750,3468.75,1.965,3562.5,468.75,3562.5,3750,0.0381097,3562.500;3468.750;3562.500;3562.500;3656.250;3656.250;3750.000,4034.783,3304.348,AFBB
AFBB_F093_ZOOM0006_Tr2.Table.1.selections.txt,1,Spectrogram 1,1,253.7412334,253.837167,1781.25,3000,1593.75,3.277,2156.25,1875,1593.75,3000,0.0959336,1593.750;1593.750;1687.500;1687.500;1687.500;1781.250;1781.250;1875.000;1968.750;1968.750;2062.500;2156.250;2250.000;2343.750;2531.250;2718.750;3000.000,3773.913,1252.174,AFBB
AFBB_F093_ZOOM0006_Tr2.Table.1.selections.txt,3,Spectrogram 1,1,260.1610619,260.5635008,0,4125,0,3.491,93.75,3937.5,0,0,0.4024389,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;93.750;0.000;0.000;0.000;0.000;1125.000;1125.000;0.000;0.000;0.000;0.000;1125.000;0.000;0.000;0.000;0.000;1875.000;1875.000;2062.500;2156.250;2343.750;0.000;0.000;2250.000;2343.750;0.000;0.000;0.000;0.000;1312.500;0.000;0.000;0.000;0.000;1875.000;1968.750;2062.500;2250.000;0.000;0.000;0.000;1312.500;0.000;0.000;843.750;843.750;843.750;93.750;0.000;0.000;0.000;1875.000;0.000;0.000;0.000;0.000;0.000;2718.750;0.000;0.000;2437.500;2250.000;4125.000;0.000;0.000,4869.565,0,AFBB
AFBB_F093_ZOOM0006_Tr2.Table.1.selections.txt,4,Spectrogram 1,1,266.9884309,267.0649623,1781.25,3093.75,1500,2.602,1968.75,1406.25,1500,3093.75,0.0765314,1500.000;1593.750;1593.750;1687.500;1781.250;1781.250;1875.000;2062.500;2062.500;2343.750;2343.750;2812.500;3093.750,3252.174,1408.696,AFBB
AFBB_F093_ZOOM0006_Tr2.Table.1.selections.txt,5,Spectrogram 1,1,621.5475939,621.5982555,3468.75,4218.75,1875,2.779,3281.25,1500,1875,4218.75,0.0506616,1875.000;2156.250;2437.500;2812.500;3187.500;3468.750;3656.250;3843.750;4218.750,4591.304,1791.304,AFBB
AFBB_F093_ZOOM0006_Tr2.Table.1.selections.txt,6,Spectrogram 1,1,624.3654233,624.4096174,2812.5,3562.5,1500,2.772,2812.5,1500,1500,3281.25,0.0441941,1500.000;1781.250;2062.500;2437.500;2812.500;3281.250;3562.500;3281.250,3617.391,1460.87,AFBB
AFBB_F093_ZOOM0006_Tr2.Table.1.selections.txt,7,Spectrogram 1,1,625.3187024,625.5957243,1875,3375,1687.5,2.683,2250,1406.25,1687.5,1781.25,0.2770219,1687.500;1781.250;1781.250;1781.250;1875.000;1875.000;1968.750;2062.500;2343.750;2531.250;2812.500;2906.250;3093.750;3187.500;3375.000;3375.000;3281.250;3187.500;3187.500;3093.750;3093.750;3000.000;2906.250;2906.250;2812.500;2812.500;2718.750;2625.000;2531.250;2531.250;2531.250;2437.500;3093.750;3093.750;3093.750;3093.750;3093.750;2156.250;2156.250;3093.750;3093.750;1968.750;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1781.250;1781.250;1781.250,3391.304,1373.913,AFBB
AFBB_F093_ZOOM0006_Tr2.Table.1.selections.txt,8,Spectrogram 1,1,721.4264407,721.4900372,2906.25,3937.5,1781.25,2.604,2718.75,1781.25,1781.25,3937.5,0.0635965,1781.250;1781.250;1968.750;2156.250;2343.750;2437.500;2718.750;2906.250;3093.750;3468.750;3843.750;3937.500,4051.364,1721.739,AFBB
AFBB_F093_ZOOM0006_Tr2.Table.1.selections.txt,9,Spectrogram 1,1,726.6229697,726.6747092,2437.5,4687.5,2250,3.134,3187.5,2343.75,2250,4687.5,0.0517395,2250.000;2250.000;2437.500;2812.500;3281.250;3562.500;3375.000;4218.750;4406.250;4687.500,4852.174,2173.913,AFBB
AFBB_F093_ZOOM0006_Tr2.Table.1.selections.txt,10,Spectrogram 1,1,253.8942961,254.1298186,2812.5,3000,1500,3.002,2718.75,1406.25,3000,1500,0.2355225,3000.000;2906.250;2906.250;2906.250;2812.500;2718.750;2718.750;2625.000;2531.250;2531.250;2437.500;2437.500;2437.500;2343.750;2343.750;2250.000;2156.250;2156.250;2062.500;3000.000;2156.250;2062.500;2062.500;2062.500;2250.000;2812.500;2812.500;2812.500;1968.750;2250.000;2156.250;2812.500;1781.250;1687.500;1687.500;2718.750;1593.750;1593.750;1593.750;2812.500;1500.000;1500.000;1500.000,3147.826,1495.652,AFBB
AFBB_F093_ZOOM0006_Tr2.Table.1.selections.txt,11,Spectrogram 1,1,726.6747092,726.7178254,3468.75,4031.25,3281.25,2.27,3468.75,843.75,3281.25,4031.25,0.0431162,3281.250;3281.250;3281.250;3468.750;3750.000;3843.750;3937.500;4031.250,4347.826,2817.391,AFBB
